Natural Frequency		8.2V		8.3V		8.4V		8.5V		8.6V		8.7V		8.8V		8.9V		9.0V		9.1V		9.2V		9.3V		9.4V		9.5V		9.6V		9.7V		9.8V		9.9V		10.0V		Natural_Freq_w/Motor	
Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage
0.84	-0.449713	0.84	0.0806259	0.84	0.224725	0.84	0.367509	0.84	0.400408	0.84	-0.611578	0.84	-0.577034	0.84	0.941933	0.84	1.11762	0.84	-0.737912	0.84	-0.607301	0.84	-1.85485	0.84	-2.15949	0.84	2.0615	0.84	1.61637	0.84	4.76616	0.84	-0.915569	0.84	0.1938	0.84	0.878437	0.84	-0.554004	0.84	-0.100979
0.841	-0.180925	0.841	-0.0187304	0.841	0.228673	0.841	0.331978	0.841	0.319147	0.841	-0.613223	0.841	-0.49314	0.841	1.01069	0.841	0.924826	0.841	-0.994856	0.841	-0.952416	0.841	-1.73016	0.841	-1.97098	0.841	1.5282	0.841	2.24376	0.841	4.32103	0.841	-0.781339	0.841	0.518517	0.841	0.732364	0.841	-0.963273	0.841	-0.108875
0.842	0.122079	0.842	-0.0733435	0.842	0.161887	0.842	0.408304	0.842	0.38692	0.842	-0.595457	0.842	-0.325353	0.842	0.987664	0.842	0.723152	0.842	-1.11329	0.842	-1.13534	0.842	-1.66535	0.842	-1.65844	0.842	0.971872	0.842	2.84648	0.842	3.90617	0.842	-0.336539	0.842	0.440875	0.842	1.01563	0.842	-0.821476	0.842	-0.112494
0.843	0.382314	0.843	-0.107888	0.843	0.128001	0.843	0.420148	0.843	0.251703	0.843	-0.547095	0.843	-0.278965	0.843	0.975491	0.843	0.681699	0.843	-1.29095	0.843	-1.27187	0.843	-1.50611	0.843	-1.39228	0.843	0.462917	0.843	3.30773	0.843	3.37748	0.843	-0.276333	0.843	0.728745	0.843	0.799808	0.843	-0.767521	0.843	-0.111178
0.844	0.534638	0.844	-0.146051	0.844	0.110893	0.844	0.354349	0.844	0.122408	0.844	-0.534264	0.844	-0.0404441	0.844	0.924497	0.844	0.432979	0.844	-1.19159	0.844	-1.38998	0.844	-1.33997	0.844	-0.96426	0.844	-0.184215	0.844	3.63738	0.844	2.70666	0.844	-0.0562358	0.844	1.03076	0.844	0.490882	0.844	-0.905699	0.844	-0.105256
0.845	0.539902	0.845	-0.120719	0.845	0.0352246	0.845	0.356981	0.845	0.112538	0.845	-0.384901	0.845	0.0687821	0.845	0.906402	0.845	0.232621	0.845	-1.35346	0.845	-1.52848	0.845	-1.11691	0.845	-0.49314	0.845	-0.734293	0.845	3.894	0.845	1.79074	0.845	0.239201	0.845	0.896861	0.845	0.420477	0.845	-0.856021	0.845	-0.0943991
0.846	0.397118	0.846	-0.239486	0.846	-0.0628157	0.846	0.342505	0.846	0.00594415	0.846	-0.350028	0.846	0.165835	0.846	0.800466	0.846	-0.0332062	0.846	-1.39557	0.846	-1.5706	0.846	-0.737912	0.846	-0.157566	0.846	-1.15935	0.846	4.20588	0.846	0.795202	0.846	0.610965	0.846	1.13834	0.846	0.234924	0.846	-0.551701	0.846	-0.0799234
0.847	0.143464	0.847	-0.294099	0.847	-0.11052	0.847	0.301381	0.847	-0.0763044	0.847	-0.312193	0.847	0.35073	0.847	0.745195	0.847	-0.240144	0.847	-1.32747	0.847	-1.47881	0.847	-0.451029	0.847	0.309606	0.847	-1.79234	0.847	4.01573	0.847	0.0319347	0.847	0.723152	0.847	1.2752	0.847	-0.1398	0.847	-0.681325	0.847	-0.0614997
0.848	-0.154934	0.848	-0.22501	0.848	-0.168752	0.848	0.28197	0.848	-0.165133	0.848	-0.194742	0.848	0.427057	0.848	0.568525	0.848	-0.427341	0.848	-1.17909	0.848	-1.44459	0.848	-0.130917	0.848	0.68795	0.848	-2.17331	0.848	3.65811	0.848	-0.897474	0.848	1.02912	0.848	1.01464	0.848	0.013511	0.848	-0.403654	0.848	-0.0401151
0.849	-0.424051	0.849	-0.248368	0.849	-0.161514	0.849	0.285918	0.849	-0.224023	0.849	-0.0486689	0.849	0.525755	0.849	0.36389	0.849	-0.626712	0.849	-1.06427	0.849	-1.28602	0.849	0.189852	0.849	1.23178	0.849	-2.5783	0.849	3.43867	0.849	-1.65975	0.849	1.16927	0.849	1.00543	0.849	-0.284558	0.849	-0.101637	0.849	-0.0157695
0.85	-0.592825	0.85	-0.262844	0.85	-0.24475	0.85	0.17077	0.85	-0.251658	0.85	0.0441075	0.85	0.587277	0.85	0.205973	0.85	-0.727713	0.85	-0.976104	0.85	-1.15508	0.85	0.673145	0.85	1.45451	0.85	-2.73655	0.85	3.03467	0.85	-2.68194	0.85	1.20118	0.85	1.30087	0.85	-0.621119	0.85	-0.165462	0.85	0.00824711
0.851	-0.62079	0.851	-0.298376	0.851	-0.266792	0.851	0.142148	0.851	-0.391152	0.851	0.129317	0.851	0.767237	0.851	0.00429918	0.851	-0.941888	0.851	-0.661914	0.851	-0.846151	0.851	0.843564	0.851	1.73942	0.851	-3.06653	0.851	2.36747	0.851	-3.34354	0.851	1.47754	0.851	0.854421	0.851	-0.67968	0.851	-0.10723	0.851	0.0335797
0.852	-0.499391	0.852	-0.262186	0.852	-0.219417	0.852	0.123395	0.852	-0.376347	0.852	0.287234	0.852	0.742563	0.852	-0.158224	0.852	-0.999791	0.852	-0.464189	0.852	-0.689879	0.852	1.20612	0.852	2.0921	0.852	-3.19122	0.852	1.72428	0.852	-3.93573	0.852	1.54432	0.852	0.665249	0.852	-0.680667	0.852	0.491211	0.852	0.0582543
0.853	-0.262186	0.853	-0.242447	0.853	-0.332591	0.853	0.014827	0.853	-0.4507	0.853	0.240846	0.853	0.72381	0.853	-0.302324	0.853	-1.18863	0.853	-0.254948	0.853	-0.478993	0.853	1.39364	0.853	2.29147	0.853	-3.02475	0.853	1.00642	0.853	-4.33413	0.853	1.38509	0.853	0.587935	0.853	-1.08566	0.853	0.420806	0.853	0.0819418
0.854	0.0296317	0.854	-0.264818	0.854	-0.32963	0.854	-0.0549198	0.854	-0.453332	0.854	0.40633	0.854	0.811322	0.854	-0.478335	0.854	-1.19357	0.854	0.014169	0.854	-0.170397	0.854	1.54235	0.854	2.32634	0.854	-2.87143	0.854	0.224396	0.854	-4.92895	0.854	1.30909	0.854	0.369154	0.854	-0.950771	0.854	0.498778	0.854	0.103326
0.855	0.303684	0.855	-0.170726	0.855	-0.374044	0.855	-0.110191	0.855	-0.480309	0.855	0.473445	0.855	0.786977	0.855	-0.649412	0.855	-1.2745	0.855	0.194787	0.855	0.100695	0.855	1.72757	0.855	2.33457	0.855	-2.67437	0.855	-0.611907	0.855	-5.14246	0.855	1.468	0.855	-0.0397861	0.855	-0.771469	0.855	0.756709	0.855	0.12175
0.856	0.489237	0.856	-0.153289	0.856	-0.318444	0.856	-0.171055	0.856	-0.51946	0.856	0.538915	0.856	0.726771	0.856	-0.684615	0.856	-1.23535	0.856	0.536283	0.856	0.385604	0.856	1.81476	0.856	2.42076	0.856	-2.37729	0.856	-1.17975	0.856	-5.02567	0.856	1.06827	0.856	-0.0348512	0.856	-1.0929	0.856	0.764934	0.856	0.136226
0.857	0.539902	0.857	-0.148354	0.857	-0.250671	0.857	-0.147038	0.857	-0.351015	0.857	0.567867	0.857	0.637942	0.857	-0.88234	0.857	-1.05309	0.857	0.705715	0.857	0.555694	0.857	1.74303	0.857	2.16152	0.857	-1.83511	0.857	-2.03086	0.857	-4.84868	0.857	0.924826	0.857	-0.192768	0.857	-0.921491	0.857	0.745195	0.857	0.147741
0.858	0.442191	0.858	-0.0917672	0.858	-0.228629	0.858	-0.317457	0.858	-0.463531	0.858	0.593199	0.858	0.651431	0.858	-0.931689	0.858	-0.992224	0.858	0.99194	0.858	0.925813	0.858	1.78811	0.858	1.84897	0.858	-1.50184	0.858	-2.63686	0.858	-4.35223	0.858	0.759012	0.858	-0.663559	0.858	-0.602366	0.858	1.02254	0.858	0.154321
0.859	0.222422	0.859	-0.0216914	0.859	-0.262844	0.859	-0.301995	0.859	-0.469124	0.859	0.678409	0.859	0.482657	0.859	-1.01032	0.859	-0.876089	0.859	1.08866	0.859	1.06695	0.859	1.73514	0.859	1.68842	0.859	-0.976104	0.859	-3.18825	0.859	-4.01468	0.859	0.48825	0.859	-0.662901	0.859	-0.759954	0.859	0.838629	0.859	0.155966
0.86	-0.0638027	0.86	-0.0105056	0.86	-0.184873	0.86	-0.319431	0.86	-0.352989	0.86	0.554707	0.86	0.321779	0.86	-0.935308	0.86	-0.767521	0.86	1.21072	0.86	1.16729	0.86	1.51142	0.86	1.35186	0.86	-0.340158	0.86	-3.59917	0.86	-3.47711	0.86	0.0763489	0.86	-0.863917	0.86	-0.579337	0.86	0.654392	0.86	0.153005
0.861	-0.341145	0.861	0.0487134	0.861	-0.21514	0.861	-0.37536	0.861	-0.241131	0.861	0.564906	0.861	0.270456	0.861	-0.980709	0.861	-0.536896	0.861	1.34199	0.861	1.39331	0.861	1.37456	0.861	0.94621	0.861	0.137213	0.861	-3.98113	0.861	-2.86124	0.861	-0.0384701	0.861	-1.09257	0.861	-0.162501	0.861	0.816586	0.861	0.145438
0.862	-0.540186	0.862	0.0960886	0.862	-0.167436	0.862	-0.383914	0.862	-0.249026	0.862	0.511938	0.862	0.140503	0.862	-1.03203	0.862	-0.397074	0.862	1.39792	0.862	1.52656	0.862	1.17552	0.862	0.521478	0.862	0.785003	0.862	-4.39533	0.862	-1.84037	0.862	-0.209218	0.862	-1.0873	0.862	-0.236196	0.862	0.699464	0.862	0.133265
0.863	-0.610591	0.863	0.187549	0.863	-0.112165	0.863	-0.420103	0.863	-0.194413	0.863	0.42278	0.863	-0.0318902	0.863	-0.840558	0.863	-0.14638	0.863	1.38871	0.863	1.47688	0.863	0.805072	0.863	0.110893	0.863	1.32488	0.863	-4.34367	0.863	-0.92182	0.863	-0.713895	0.863	-0.977091	0.863	-0.0223494	0.863	0.396789	0.863	0.118131
0.864	-0.535909	0.864	0.145767	0.864	-0.0220204	0.864	-0.35595	0.864	-0.0634737	0.864	0.432979	0.864	-0.190794	0.864	-0.736925	0.864	0.172744	0.864	1.3387	0.864	1.49333	0.864	0.475748	0.864	-0.348383	0.864	1.76606	0.864	-4.24564	0.864	0.016801	0.864	-0.667507	0.864	-1.25706	0.864	0.440546	0.864	0.414884	0.864	0.0993785
0.865	-0.334894	0.865	0.225383	0.865	0.0776649	0.865	-0.358911	0.865	0.0802969	0.865	0.310593	0.865	-0.267121	0.865	-0.639872	0.865	0.288879	0.865	1.31041	0.865	1.5713	0.865	0.228344	0.865	-0.781997	0.865	2.21909	0.865	-3.95382	0.865	0.75638	0.865	-0.946165	0.865	-1.00637	0.865	0.345137	0.865	0.178995	0.865	0.0779939
0.866	-0.0591967	0.866	0.260915	0.866	0.0951016	0.866	-0.303311	0.866	0.0635182	0.866	0.192813	0.866	-0.381282	0.866	-0.556965	0.866	0.541876	0.866	1.17749	0.866	1.3387	0.866	-0.139471	0.866	-1.04355	0.866	2.62507	0.866	-3.62943	0.866	1.38147	0.866	-1.19883	0.866	-0.86622	0.866	0.503055	0.866	-0.166778	0.866	0.0543063
0.867	0.221435	0.867	0.289537	0.867	0.145438	0.867	-0.200006	0.867	0.209921	0.867	0.124053	0.867	-0.518473	0.867	-0.288177	0.867	0.656695	0.867	1.04787	0.867	1.16104	0.867	-0.522092	0.867	-1.57421	0.867	2.85536	0.867	-3.25537	0.867	2.56782	0.867	-1.18469	0.867	-0.854705	0.867	0.862317	0.867	-0.109204	0.867	0.0296317
0.868	0.434295	0.868	0.344479	0.868	0.187549	0.868	-0.219088	0.868	0.225712	0.868	-0.0124795	0.868	-0.566506	0.868	-0.191452	0.868	0.893571	0.868	0.816586	0.868	0.983716	0.868	-0.758967	0.868	-1.80517	0.868	3.0169	0.868	-2.66121	0.868	3.40709	0.868	-1.10277	0.868	-0.739228	0.868	0.831391	0.868	-0.304297	0.868	0.00528616
0.869	0.525755	0.869	0.303684	0.869	0.295459	0.869	-0.194742	0.869	0.367838	0.869	-0.14309	0.869	-0.681654	0.869	-0.0262973	0.869	0.946868	0.869	0.571815	0.869	0.740589	0.869	-1.11987	0.869	-2.0177	0.869	3.05506	0.869	-1.89465	0.869	3.92229	0.869	-1.2972	0.869	-0.232906	0.869	0.894558	0.869	-0.603353	0.869	-0.0187304
0.87	0.472458	0.87	0.279667	0.87	0.246439	0.87	-0.0871613	0.87	0.422451	0.87	-0.242118	0.87	-0.75173	0.87	0.22308	0.87	1.03997	0.87	0.329017	0.87	0.532006	0.87	-1.36728	0.87	-2.15357	0.87	3.16824	0.87	-1.19982	0.87	4.20194	0.87	-1.15738	0.87	-0.31647	0.87	1.09985	0.87	-0.65336	0.87	-0.0404441
0.871	0.289537	0.871	0.275062	0.871	0.255651	0.871	-0.0387991	0.871	0.424425	0.871	-0.272056	0.871	-0.78101	0.871	0.268482	0.871	1.23178	0.871	0.125698	0.871	0.282957	0.871	-1.54099	0.871	-2.34965	0.871	2.85372	0.871	-0.58164	0.871	4.6441	0.871	-1.07381	0.871	-0.0874902	0.871	0.904099	0.871	-0.649412	0.871	-0.0605127
0.872	0.0237098	0.872	0.273746	0.872	0.36389	0.872	0.0352246	0.872	0.459298	0.872	-0.335881	0.872	-0.804369	0.872	0.530032	0.872	1.26106	0.872	-0.0197174	0.872	-0.0871613	0.872	-1.66074	0.872	-2.37926	0.872	2.51716	0.872	0.302039	0.872	4.79676	0.872	-0.907344	0.872	0.225383	0.872	0.705715	0.872	-0.979722	0.872	-0.0763044
0.873	-0.255935	0.873	0.272101	0.873	0.339544	0.873	0.0520034	0.873	0.477064	0.873	-0.478335	0.873	-0.709289	0.873	0.616558	0.873	1.20875	0.873	-0.356608	0.873	-0.281597	0.873	-1.78971	0.873	-2.33353	0.873	2.35069	0.873	1.07847	0.873	4.81781	0.873	-0.77114	0.873	0.392513	0.873	1.09919	0.873	-0.859311	0.873	-0.0891352
0.874	-0.47998	0.874	0.242162	0.874	0.289537	0.874	0.0839158	0.874	0.484302	0.874	-0.466821	0.874	-0.680996	0.874	0.794873	0.874	1.11729	0.874	-0.620461	0.874	-0.563216	0.874	-1.86274	0.874	-2.13943	0.874	1.97925	0.874	1.83088	0.874	4.53356	0.874	-0.407273	0.874	0.522136	0.874	0.821192	0.874	-0.736925	0.874	-0.0976891
0.875	-0.589864	0.875	0.235911	0.875	0.331649	0.875	0.184259	0.875	0.466536	0.875	-0.603024	0.875	-0.632634	0.875	0.814283	0.875	1.12255	0.875	-0.764231	0.875	-0.768179	0.875	-1.72029	0.875	-1.94631	0.875	1.442	0.875	2.45695	0.875	4.16377	0.875	-0.255935	0.875	0.985032	0.875	0.428044	0.875	-0.950113	0.875	-0.103282
0.876	-0.559268	0.876	0.15794	0.876	0.333952	0.876	0.229989	0.876	0.465549	0.876	-0.578679	0.876	-0.59447	0.876	0.927787	0.876	0.89061	0.876	-1.04848	0.876	-1.02447	0.876	-1.72917	0.876	-1.64034	0.876	0.892255	0.876	3.04092	0.876	3.63015	0.876	-0.0519589	0.876	0.915614	0.876	0.396131	0.876	-0.800092	0.876	-0.102953
0.877	-0.396416	0.877	0.150044	0.877	0.26585	0.877	0.299407	0.877	0.397447	0.877	-0.634279	0.877	-0.492482	0.877	1.05182	0.877	0.788622	0.877	-1.15672	0.877	-1.14455	0.877	-1.55809	0.877	-1.363	0.877	0.396131	0.877	3.46993	0.877	3.16001	0.877	0.239859	0.877	0.846854	0.877	0.336255	0.877	-0.570783	0.877	-0.0986761
0.878	-0.142103	0.878	0.102011	0.878	0.225383	0.878	0.27572	0.878	0.325069	0.878	-0.604998	0.878	-0.383585	0.878	1.01497	0.878	0.705057	0.878	-1.31431	0.878	-1.38767	0.878	-1.37715	0.878	-0.950442	0.878	-0.314496	0.878	3.75319	0.878	2.4405	0.878	0.593857	0.878	1.19131	0.878	-0.1171	0.878	-0.687576	0.878	-0.0904512
0.879	0.136884	0.879	0.00199622	0.879	0.238214	0.879	0.34744	0.879	0.343492	0.879	-0.543805	0.879	-0.269095	0.879	0.946868	0.879	0.526742	0.879	-1.43538	0.879	-1.34293	0.879	-1.09684	0.879	-0.493469	0.879	-0.84648	0.879	3.93117	0.879	1.51636	0.879	0.732035	0.879	1.30909	0.879	-0.0249813	0.879	-0.353976	0.879	-0.0769624
0.88	0.370799	0.88	0.00364119	0.88	0.169454	0.88	0.405672	0.88	0.243149	0.88	-0.518473	0.88	0.0214069	0.88	0.868568	0.88	0.280983	0.88	-1.39393	0.88	-1.43966	0.88	-0.879708	0.88	-0.161843	0.88	-1.20541	0.88	4.11409	0.88	0.510951	0.88	1.06761	0.88	1.01892	0.88	-0.233893	0.88	-0.0559068	0.88	-0.0605127
0.881	0.499436	0.881	-0.0756464	0.881	0.100037	0.881	0.350072	0.881	0.145109	0.881	-0.422735	0.881	0.0533193	0.881	0.881727	0.881	0.00462817	0.881	-1.42222	0.881	-1.4946	0.881	-0.645793	0.881	0.308948	0.881	-1.87031	0.881	3.95058	0.881	-0.347067	0.881	1.17289	0.881	1.12091	0.881	-0.618158	0.881	-0.139142	0.881	-0.0404441
0.882	0.490553	0.882	-0.146051	0.882	0.110893	0.882	0.408304	0.882	0.139845	0.882	-0.407602	0.882	0.138529	0.882	0.721507	0.882	-0.203954	0.882	-1.35445	0.882	-1.5321	0.882	-0.189807	0.882	0.683344	0.882	-2.29274	0.882	3.68936	0.882	-1.01821	0.882	1.20447	0.882	1.06169	0.882	-0.667178	0.882	-0.0716985	0.882	-0.0187304
0.883	0.346453	0.883	-0.0953861	0.883	-0.00491267	0.883	0.371457	0.883	0.0250258	0.883	-0.336868	0.883	0.348098	0.883	0.587935	0.883	-0.374702	0.883	-1.18798	0.883	-1.34721	0.883	0.148399	0.883	1.22586	0.883	-2.60495	0.883	3.31826	0.883	-1.87853	0.883	1.50155	0.883	0.629389	0.883	-0.677048	0.883	0.431992	0.883	0.00364119
0.884	0.104971	0.884	-0.171713	0.884	-0.0312322	0.884	0.374747	0.884	-0.0703825	0.884	-0.27732	0.884	0.390539	0.884	0.565235	0.884	-0.639872	0.884	-1.08171	0.884	-1.20772	0.884	0.473445	0.884	1.43707	0.884	-2.82899	0.884	2.8524	0.884	-2.93888	0.884	1.54926	0.884	0.728745	0.884	-1.03894	0.884	0.365535	0.884	0.0273288
0.885	-0.171055	0.885	-0.29048	0.885	-0.116442	0.885	0.299078	0.885	-0.174016	0.885	-0.149012	0.885	0.470813	0.885	0.338886	0.885	-0.76127	0.885	-0.938598	0.885	-1.01854	0.885	0.653076	0.885	1.71145	0.885	-3.05534	0.885	2.19178	0.885	-3.72682	0.885	1.37686	0.885	0.549443	0.885	-0.994198	0.885	0.530361	0.885	0.0506874
0.886	-0.412866	0.886	-0.22172	0.886	-0.178622	0.886	0.281641	0.886	-0.269753	0.886	0.128988	0.886	0.584645	0.886	0.141161	0.886	-0.955048	0.886	-0.714224	0.886	-0.780023	0.886	1.11498	0.886	2.07631	0.886	-3.21326	0.886	1.51537	0.886	-4.11832	0.886	1.29165	0.886	0.122079	0.886	-0.812265	0.886	0.849157	0.886	0.07273
0.887	-0.557952	0.887	-0.254948	0.887	-0.0522879	0.887	0.293156	0.887	-0.250013	0.887	0.0204199	0.887	0.731706	0.887	-0.0476819	0.887	-1.00341	0.887	-0.484586	0.887	-0.577363	0.887	1.28475	0.887	2.27304	0.887	-3.1241	0.887	0.837313	0.887	-4.49205	0.887	1.42457	0.887	-0.0980181	0.887	-1.08303	0.887	0.674132	0.887	0.0934566
0.888	-0.570783	0.888	-0.254619	0.888	-0.218101	0.888	0.186891	0.888	-0.344435	0.888	0.106945	0.888	0.773159	0.888	-0.205928	0.888	-1.13632	0.888	-0.261199	0.888	-0.340816	0.888	1.41338	0.888	2.29772	0.888	-2.89907	0.888	-0.0230074	0.888	-4.79702	0.888	1.10643	0.888	-0.00655764	0.888	-0.967221	0.888	0.77941	0.888	0.110893
0.889	-0.447739	0.889	-0.293441	0.889	-0.256593	0.889	0.101353	0.889	-0.324037	0.889	0.31816	0.889	0.759012	0.889	-0.314496	0.889	-1.19785	0.889	0.0365406	0.889	-0.0611707	0.889	1.6496	0.889	2.29838	0.889	-2.62864	0.889	-0.706328	0.889	-5.00889	0.889	0.922852	0.889	-0.444449	0.889	-0.656321	0.889	1.07649	0.889	0.126027
0.89	-0.220733	0.89	-0.273372	0.89	-0.295415	0.89	0.0477264	0.89	-0.425696	0.89	0.351059	0.89	0.781055	0.89	-0.48985	0.89	-1.25706	0.89	0.240846	0.89	0.173731	0.89	1.8085	0.89	2.40563	0.89	-2.31116	0.89	-1.45775	0.89	-5.16451	0.89	0.717559	0.89	-0.703696	0.89	-0.767521	0.89	0.79915	0.89	0.136555
0.891	0.0520034	0.891	-0.185531	0.891	-0.374044	0.891	-0.0272843	0.891	-0.460241	0.891	0.359942	0.891	0.785332	0.891	-0.631647	0.891	-1.23634	0.891	0.499107	0.891	0.434295	0.891	1.7506	0.891	2.14605	0.891	-1.84531	0.891	-2.16509	0.891	-4.69833	0.891	0.445152	0.891	-0.750414	0.891	-0.631647	0.891	0.642219	0.891	0.143464
0.892	0.300394	0.892	-0.27732	0.892	-0.363845	0.892	-0.0723565	0.892	-0.515183	0.892	0.443836	0.892	0.712953	0.892	-0.756665	0.892	-1.1202	0.892	0.73039	0.892	0.771514	0.892	1.77067	0.892	1.84831	0.892	-1.49032	0.892	-2.89578	0.892	-4.37559	0.892	0.075691	0.892	-0.970511	0.892	-0.121048	0.892	0.889952	0.892	0.145767
0.893	0.46193	0.893	-0.244092	0.893	-0.349041	0.893	-0.172371	0.893	-0.526369	0.893	0.616229	0.893	0.641232	0.893	-0.866878	0.893	-1.04092	0.893	0.976149	0.893	0.999507	0.893	1.8572	0.893	1.67526	0.893	-0.815225	0.893	-3.32939	0.893	-3.80972	0.893	-0.00491267	0.893	-1.22844	0.893	-0.199019	0.893	0.669855	0.893	0.143464
0.894	0.49483	0.894	-0.162172	0.894	-0.324037	0.894	-0.179609	0.894	-0.375689	0.894	0.521149	0.894	0.625112	0.894	-0.917214	0.894	-0.88563	0.894	1.08044	0.894	1.10446	0.894	1.61966	0.894	1.32521	0.894	-0.215469	0.894	-3.84986	0.894	-3.18562	0.894	-0.199348	0.894	-1.01131	0.894	0.00462817	0.894	0.385604	0.894	0.137871
0.895	0.392184	0.895	-0.181254	0.895	-0.213166	0.895	-0.208889	0.895	-0.43754	0.895	0.534967	0.895	0.480354	0.895	-1.01394	0.895	-0.791867	0.895	1.27882	0.895	1.39068	0.895	1.37785	0.895	0.939959	0.895	0.201696	0.895	-4.1522	0.895	-2.45921	0.895	-0.728371	0.895	-1.05013	0.895	0.42607	0.895	0.429689	0.895	0.127014
0.896	0.180311	0.896	-0.145393	0.896	-0.317786	0.896	-0.273701	0.896	-0.462873	0.896	0.614584	0.896	0.329017	0.896	-0.919517	0.896	-0.582956	0.896	1.341	0.896	1.468	0.896	1.19559	0.896	0.529045	0.896	0.851131	0.896	-4.24333	0.896	-1.59363	0.896	-0.67639	0.896	-1.2495	0.896	0.361258	0.896	0.133265	0.896	0.112538
0.897	-0.0855163	0.897	-0.099992	0.897	-0.246723	0.897	-0.327656	0.897	-0.323708	0.897	0.60932	0.897	0.270127	0.897	-0.874444	0.897	-0.348712	0.897	1.43871	0.897	1.46602	0.897	0.952132	0.897	0.0845738	0.897	1.43181	0.897	-4.3315	0.897	-0.638885	0.897	-0.955706	0.897	-0.919188	0.897	0.400079	0.897	-0.190794	0.897	0.0954306
0.898	-0.337197	0.898	0.0112081	0.898	-0.175003	0.898	-0.387204	0.898	-0.252645	0.898	0.567867	0.898	0.1053	0.898	-0.842861	0.898	-0.170397	0.898	1.40253	0.898	1.47556	0.898	0.548127	0.898	-0.346409	0.898	1.85785	0.898	-4.25452	0.898	0.275062	0.898	-1.23338	0.898	-0.887933	0.898	0.817902	0.898	-0.0670926	0.898	0.075362
0.899	-0.51288	0.899	0.0763489	0.899	-0.218101	0.899	-0.34279	0.899	-0.278307	0.899	0.452719	0.899	-0.044063	0.899	-0.838255	0.899	0.0796389	0.899	1.35943	0.899	1.52063	0.899	0.286905	0.899	-0.781668	0.899	2.25758	0.899	-3.96566	0.899	1.04458	0.899	-1.17975	0.899	-0.926425	0.899	0.872186	0.899	-0.329301	0.899	0.0546353
0.9	-0.566177	0.9	0.0687821	0.9	-0.121048	0.9	-0.422735	0.9	-0.188492	0.9	0.437585	0.9	-0.200335	0.9	-0.740873	0.9	0.266837	0.9	1.33048	0.9	1.35482	0.9	-0.0210334	0.9	-1.05013	0.9	2.66126	0.9	-3.48106	0.9	1.80423	0.9	-1.11461	0.9	-0.625067	0.9	0.819547	0.9	-0.607301	0.9	0.0316057
0.901	-0.483928	0.901	0.15136	0.901	-0.0690666	0.901	-0.397732	0.901	-0.0503139	0.901	0.349085	0.901	-0.295415	0.901	-0.627699	0.901	0.481012	0.901	1.16466	0.901	1.16335	0.901	-0.427999	0.901	-1.56138	0.901	2.89813	0.901	-3.13989	0.901	2.5642	0.901	-1.3255	0.901	-0.316799	0.901	1.06531	0.901	-0.616842	0.901	0.00824711
0.902	-0.289493	0.902	0.199722	0.902	0.012195	0.902	-0.375689	0.902	0.075691	0.902	0.25598	0.902	-0.381282	0.902	-0.478993	0.902	0.598134	0.902	1.08636	0.902	1.16894	0.902	-0.720146	0.902	-1.81635	0.902	3.0396	0.902	-2.55692	0.902	3.41169	0.902	-1.16231	0.902	-0.268437	0.902	1.0153	0.902	-0.642175	0.902	-0.0141245
0.903	-0.0295872	0.903	0.173073	0.903	0.0812839	0.903	-0.381611	0.903	0.0480554	0.903	0.212224	0.903	-0.537883	0.903	-0.184544	0.903	0.840274	0.903	0.829417	0.903	0.912982	0.903	-0.979065	0.903	-1.99763	0.903	3.08434	0.903	-1.71108	0.903	3.9292	0.903	-1.07743	0.903	0.104642	0.903	0.688937	0.903	-0.947152	0.903	-0.0355091
0.904	0.22637	0.904	0.202683	0.904	0.071414	0.904	-0.373057	0.904	0.246768	0.904	0.07273	0.904	-0.581311	0.904	-0.102624	0.904	0.999507	0.904	0.563919	0.904	0.634323	0.904	-1.2972	0.904	-2.14962	0.904	3.16297	0.904	-0.936953	0.904	4.32827	0.904	-0.911292	0.904	0.402053	0.904	1.13505	0.904	-0.717843	0.904	-0.0536038
0.905	0.414884	0.905	0.230318	0.905	0.203341	0.905	-0.253632	0.905	0.242162	0.905	-0.0542618	0.905	-0.733635	0.905	0.0227229	0.905	1.0857	0.905	0.276378	0.905	0.385604	0.905	-1.41531	0.905	-2.32235	0.905	2.908	0.905	-0.314496	0.905	4.66976	0.905	-0.763244	0.905	0.366522	0.905	0.784016	0.905	-0.837926	0.905	-0.0697246
